chrom	start	end	region	coverage	sample
MN908947.3	10076	10491	SARS-CoV-2_34	2	4693
MN908947.3	10393	10810	SARS-CoV-2_35	1300	4693
MN908947.3	10713	11116	SARS-CoV-2_36	232	4693
MN908947.3	11000	11414	SARS-CoV-2_37	248	4693
MN908947.3	11305	11720	SARS-CoV-2_38	479	4693
MN908947.3	11624	12033	SARS-CoV-2_39	0	4693
MN908947.3	11937	12339	SARS-CoV-2_40	43	4693
MN908947.3	12234	12643	SARS-CoV-2_41	1055	4693
MN908947.3	12519	12920	SARS-CoV-2_42	0	4693
MN908947.3	12831	13240	SARS-CoV-2_43	316	4693
MN908947.3	13124	13528	SARS-CoV-2_44	997	4693
MN908947.3	13463	13859	SARS-CoV-2_45	1799	4693
MN908947.3	13752	14144	SARS-CoV-2_46	0	4693
MN908947.3	14045	14457	SARS-CoV-2_47	0	4693
MN908947.3	14338	14743	SARS-CoV-2_48	0	4693
MN908947.3	14647	15050	SARS-CoV-2_49	0	4693
MN908947.3	14953	15358	SARS-CoV-2_50	0	4693
MN908947.3	15214	15619	SARS-CoV-2_51	0	4693
MN908947.3	15535	15941	SARS-CoV-2_52	3	4693
MN908947.3	15855	16260	SARS-CoV-2_53	161	4693
MN908947.3	16112	16508	SARS-CoV-2_54	239	4693
MN908947.3	16386	16796	SARS-CoV-2_55	256	4693
MN908947.3	16692	17105	SARS-CoV-2_56	609	4693
MN908947.3	16986	17405	SARS-CoV-2_57	387	4693
MN908947.3	17323	17711	SARS-CoV-2_58	379	4693
MN908947.3	17615	18022	SARS-CoV-2_59	1193	4693
MN908947.3	17911	18328	SARS-CoV-2_60	29	4693
MN908947.3	18244	18652	SARS-CoV-2_61	772	4693
MN908947.3	18550	18961	SARS-CoV-2_62	1476	4693
MN908947.3	18869	19277	SARS-CoV-2_63	0	4693
MN908947.3	19183	19586	SARS-CoV-2_64	0	4693
MN908947.3	19485	19901	SARS-CoV-2_65	95	4693
MN908947.3	19810	20216	SARS-CoV-2_66	519	4693
MN908947.3	20090	20497	SARS-CoV-2_67	1	4693
MN908947.3	20377	20792	SARS-CoV-2_68	1063	4693
MN908947.3	20677	21080	SARS-CoV-2_69	0	4693
MN908947.3	20988	21387	SARS-CoV-2_70	10	4693
MN908947.3	21294	21700	SARS-CoV-2_71	755	4693
MN908947.3	21532	21933	SARS-CoV-2_72	0	4693
MN908947.3	21865	22274	SARS-CoV-2_73	0	4693
MN908947.3	22091	22503	SARS-CoV-2_74	12	4693
MN908947.3	22402	22805	SARS-CoV-2_75	0	4693
MN908947.3	22648	23057	SARS-CoV-2_76	0	4693
MN908947.3	22944	23351	SARS-CoV-2_77	0	4693
MN908947.3	23219	23635	SARS-CoV-2_78	0	4693
MN908947.3	23553	23955	SARS-CoV-2_79	5735	4693
MN908947.3	23853	24258	SARS-CoV-2_80	0	4693
MN908947.3	24171	24567	SARS-CoV-2_81	0	4693
MN908947.3	24426	24836	SARS-CoV-2_82	1029	4693
MN908947.3	24750	25150	SARS-CoV-2_83	32	4693
MN908947.3	25051	25461	SARS-CoV-2_84	9	4693
MN908947.3	25331	25740	SARS-CoV-2_85	0	4693
MN908947.3	25645	26050	SARS-CoV-2_86	0	4693
MN908947.3	25951	26360	SARS-CoV-2_87	0	4693
MN908947.3	26255	26661	SARS-CoV-2_88	0	4693
MN908947.3	26564	26979	SARS-CoV-2_89	66	4693
MN908947.3	26873	27283	SARS-CoV-2_90	66	4693
MN908947.3	27152	27560	SARS-CoV-2_91	66	4693
MN908947.3	27447	27855	SARS-CoV-2_92	0	4693
MN908947.3	27700	28104	SARS-CoV-2_93	0	4693
MN908947.3	27996	28416	SARS-CoV-2_94	1584	4693
MN908947.3	28190	28598	SARS-CoV-2_95	1540	4693
MN908947.3	28512	28914	SARS-CoV-2_96	39	4693
MN908947.3	28827	29227	SARS-CoV-2_97	38	4693
MN908947.3	29136	29534	SARS-CoV-2_98	5200	4693
MN908947.3	29452	29854	SARS-CoV-2_99	270	4693
MN908947.3	25	431	SARS-CoV-2_1	44	4534
MN908947.3	324	727	SARS-CoV-2_2	8359	4534
MN908947.3	644	1044	SARS-CoV-2_3	393	4534
MN908947.3	944	1362	SARS-CoV-2_4	942	4534
MN908947.3	1245	1650	SARS-CoV-2_5	1407	4534
MN908947.3	1540	1948	SARS-CoV-2_6	4823	4534
MN908947.3	1851	2250	SARS-CoV-2_7	1228	4534
MN908947.3	2154	2571	SARS-CoV-2_8	6595	4534
MN908947.3	2483	2885	SARS-CoV-2_9	15	4534
MN908947.3	2826	3210	SARS-CoV-2_10	20	4534
MN908947.3	3078	3492	SARS-CoV-2_11	823	4534
MN908947.3	3390	3794	SARS-CoV-2_12	1331	4534
MN908947.3	3683	4093	SARS-CoV-2_13	420	4534
MN908947.3	3992	4409	SARS-CoV-2_14	534	4534
MN908947.3	4312	4710	SARS-CoV-2_15	2912	4534
MN908947.3	4620	5017	SARS-CoV-2_16	941	4534
MN908947.3	4923	5331	SARS-CoV-2_17	548	4534
MN908947.3	5230	5643	SARS-CoV-2_18	2755	4534
MN908947.3	5561	5957	SARS-CoV-2_19	5916	4534
MN908947.3	5867	6272	SARS-CoV-2_20	473	4534
MN908947.3	6184	6582	SARS-CoV-2_21	175	4534
MN908947.3	6478	6885	SARS-CoV-2_22	27	4534
MN908947.3	6747	7148	SARS-CoV-2_23	353	4534
MN908947.3	7057	7467	SARS-CoV-2_24	4	4534
MN908947.3	7381	7770	SARS-CoV-2_25	129	4534
MN908947.3	7672	8092	SARS-CoV-2_26	1809	4534
MN908947.3	7997	8395	SARS-CoV-2_27	9484	4534
MN908947.3	8304	8714	SARS-CoV-2_28	131	4534
MN908947.3	8596	9013	SARS-CoV-2_29	2939	4534
MN908947.3	8919	9329	SARS-CoV-2_30	946	4534
MN908947.3	9168	9564	SARS-CoV-2_31	419	4534
MN908947.3	9470	9866	SARS-CoV-2_32	2084	4534
MN908947.3	9782	10176	SARS-CoV-2_33	98	4534
MN908947.3	10076	10491	SARS-CoV-2_34	36	4534
MN908947.3	10393	10810	SARS-CoV-2_35	1077	4534
MN908947.3	10713	11116	SARS-CoV-2_36	23	4534
MN908947.3	11000	11414	SARS-CoV-2_37	21	4534
MN908947.3	11305	11720	SARS-CoV-2_38	380	4534
MN908947.3	11624	12033	SARS-CoV-2_39	205	4534
MN908947.3	11937	12339	SARS-CoV-2_40	109	4534
MN908947.3	12234	12643	SARS-CoV-2_41	5302	4534
MN908947.3	12519	12920	SARS-CoV-2_42	5844	4534
MN908947.3	12831	13240	SARS-CoV-2_43	135	4534
MN908947.3	13124	13528	SARS-CoV-2_44	1374	4534
MN908947.3	13463	13859	SARS-CoV-2_45	486	4534
MN908947.3	13752	14144	SARS-CoV-2_46	47	4534
MN908947.3	14045	14457	SARS-CoV-2_47	255	4534
MN908947.3	14338	14743	SARS-CoV-2_48	140	4534
MN908947.3	14647	15050	SARS-CoV-2_49	957	4534
MN908947.3	14953	15358	SARS-CoV-2_50	1756	4534
MN908947.3	15214	15619	SARS-CoV-2_51	4166	4534
MN908947.3	15535	15941	SARS-CoV-2_52	136	4534
MN908947.3	15855	16260	SARS-CoV-2_53	58	4534
MN908947.3	16112	16508	SARS-CoV-2_54	301	4534
MN908947.3	16386	16796	SARS-CoV-2_55	3391	4534
MN908947.3	16692	17105	SARS-CoV-2_56	10595	4534
MN908947.3	16986	17405	SARS-CoV-2_57	4566	4534
MN908947.3	17323	17711	SARS-CoV-2_58	1485	4534
MN908947.3	17615	18022	SARS-CoV-2_59	1789	4534
MN908947.3	17911	18328	SARS-CoV-2_60	2087	4534
MN908947.3	18244	18652	SARS-CoV-2_61	7908	4534
MN908947.3	18550	18961	SARS-CoV-2_62	90	4534
MN908947.3	18869	19277	SARS-CoV-2_63	7	4534
MN908947.3	19183	19586	SARS-CoV-2_64	4	4534
MN908947.3	19485	19901	SARS-CoV-2_65	8	4534
MN908947.3	19810	20216	SARS-CoV-2_66	46	4534
MN908947.3	20090	20497	SARS-CoV-2_67	1312	4534
MN908947.3	20377	20792	SARS-CoV-2_68	917	4534
MN908947.3	20677	21080	SARS-CoV-2_69	390	4534
MN908947.3	20988	21387	SARS-CoV-2_70	925	4534
MN908947.3	21294	21700	SARS-CoV-2_71	1261	4534
MN908947.3	21532	21933	SARS-CoV-2_72	1327	4534
MN908947.3	21865	22274	SARS-CoV-2_73	106	4534
MN908947.3	22091	22503	SARS-CoV-2_74	75	4534
MN908947.3	22402	22805	SARS-CoV-2_75	31	4534
MN908947.3	22648	23057	SARS-CoV-2_76	664	4534
MN908947.3	22944	23351	SARS-CoV-2_77	1570	4534
MN908947.3	23219	23635	SARS-CoV-2_78	1381	4534
MN908947.3	23553	23955	SARS-CoV-2_79	832	4534
MN908947.3	23853	24258	SARS-CoV-2_80	597	4534
MN908947.3	24171	24567	SARS-CoV-2_81	2293	4534
MN908947.3	24426	24836	SARS-CoV-2_82	4171	4534
MN908947.3	24750	25150	SARS-CoV-2_83	448	4534
MN908947.3	25051	25461	SARS-CoV-2_84	525	4534
MN908947.3	25331	25740	SARS-CoV-2_85	1092	4534
MN908947.3	25645	26050	SARS-CoV-2_86	42	4534
MN908947.3	25951	26360	SARS-CoV-2_87	165	4534
MN908947.3	26255	26661	SARS-CoV-2_88	111	4534
MN908947.3	26564	26979	SARS-CoV-2_89	196	4534
MN908947.3	26873	27283	SARS-CoV-2_90	438	4534
MN908947.3	27152	27560	SARS-CoV-2_91	530	4534
MN908947.3	27447	27855	SARS-CoV-2_92	250	4534
MN908947.3	27700	28104	SARS-CoV-2_93	1223	4534
MN908947.3	27996	28416	SARS-CoV-2_94	1679	4534
MN908947.3	28190	28598	SARS-CoV-2_95	804	4534
MN908947.3	28512	28914	SARS-CoV-2_96	3106	4534
MN908947.3	28827	29227	SARS-CoV-2_97	3788	4534
MN908947.3	29136	29534	SARS-CoV-2_98	327	4534
MN908947.3	29452	29854	SARS-CoV-2_99	4544	4534
MN908947.3	25	431	SARS-CoV-2_1	69	4676
MN908947.3	324	727	SARS-CoV-2_2	3098	4676
MN908947.3	644	1044	SARS-CoV-2_3	2492	4676
MN908947.3	944	1362	SARS-CoV-2_4	11	4676
MN908947.3	1245	1650	SARS-CoV-2_5	816	4676
MN908947.3	1540	1948	SARS-CoV-2_6	2906	4676
MN908947.3	1851	2250	SARS-CoV-2_7	1092	4676
MN908947.3	2154	2571	SARS-CoV-2_8	2832	4676
MN908947.3	2483	2885	SARS-CoV-2_9	1669	4676
MN908947.3	2826	3210	SARS-CoV-2_10	0	4676
MN908947.3	3078	3492	SARS-CoV-2_11	0	4676
MN908947.3	3390	3794	SARS-CoV-2_12	1339	4676
MN908947.3	3683	4093	SARS-CoV-2_13	1709	4676
MN908947.3	3992	4409	SARS-CoV-2_14	339	4676
MN908947.3	4312	4710	SARS-CoV-2_15	576	4676
MN908947.3	4620	5017	SARS-CoV-2_16	1307	4676
MN908947.3	4923	5331	SARS-CoV-2_17	1554	4676
MN908947.3	5230	5643	SARS-CoV-2_18	2609	4676
MN908947.3	5561	5957	SARS-CoV-2_19	4640	4676
MN908947.3	5867	6272	SARS-CoV-2_20	108	4676
MN908947.3	6184	6582	SARS-CoV-2_21	64	4676
MN908947.3	6478	6885	SARS-CoV-2_22	70	4676
MN908947.3	6747	7148	SARS-CoV-2_23	0	4676
MN908947.3	7057	7467	SARS-CoV-2_24	150	4676
MN908947.3	7381	7770	SARS-CoV-2_25	1390	4676
MN908947.3	7672	8092	SARS-CoV-2_26	730	4676
MN908947.3	7997	8395	SARS-CoV-2_27	1476	4676
MN908947.3	8304	8714	SARS-CoV-2_28	68	4676
MN908947.3	8596	9013	SARS-CoV-2_29	8	4676
MN908947.3	8919	9329	SARS-CoV-2_30	0	4676
MN908947.3	9168	9564	SARS-CoV-2_31	409	4676
MN908947.3	9470	9866	SARS-CoV-2_32	441	4676
MN908947.3	9782	10176	SARS-CoV-2_33	87	4676
MN908947.3	10076	10491	SARS-CoV-2_34	0	4676
MN908947.3	10393	10810	SARS-CoV-2_35	1105	4676
MN908947.3	10713	11116	SARS-CoV-2_36	115	4676
MN908947.3	11000	11414	SARS-CoV-2_37	248	4676
MN908947.3	11305	11720	SARS-CoV-2_38	412	4676
MN908947.3	11624	12033	SARS-CoV-2_39	6	4676
MN908947.3	11937	12339	SARS-CoV-2_40	195	4676
MN908947.3	12234	12643	SARS-CoV-2_41	7989	4676
MN908947.3	12519	12920	SARS-CoV-2_42	1824	4676
MN908947.3	12831	13240	SARS-CoV-2_43	512	4676
MN908947.3	13124	13528	SARS-CoV-2_44	2098	4676
MN908947.3	13463	13859	SARS-CoV-2_45	2209	4676
MN908947.3	13752	14144	SARS-CoV-2_46	356	4676
MN908947.3	14045	14457	SARS-CoV-2_47	20	4676
MN908947.3	14338	14743	SARS-CoV-2_48	3	4676
MN908947.3	14647	15050	SARS-CoV-2_49	117	4676
MN908947.3	14953	15358	SARS-CoV-2_50	122	4676
MN908947.3	15214	15619	SARS-CoV-2_51	32	4676
MN908947.3	15535	15941	SARS-CoV-2_52	34	4676
MN908947.3	15855	16260	SARS-CoV-2_53	36	4676
MN908947.3	16112	16508	SARS-CoV-2_54	995	4676
MN908947.3	16386	16796	SARS-CoV-2_55	4821	4676
MN908947.3	16692	17105	SARS-CoV-2_56	6023	4676
MN908947.3	16986	17405	SARS-CoV-2_57	213	4676
MN908947.3	17323	17711	SARS-CoV-2_58	215	4676
MN908947.3	17615	18022	SARS-CoV-2_59	1899	4676
MN908947.3	17911	18328	SARS-CoV-2_60	603	4676
MN908947.3	18244	18652	SARS-CoV-2_61	476	4676
MN908947.3	18550	18961	SARS-CoV-2_62	17	4676
MN908947.3	18869	19277	SARS-CoV-2_63	54	4676
MN908947.3	19183	19586	SARS-CoV-2_64	0	4676
MN908947.3	19485	19901	SARS-CoV-2_65	562	4676
MN908947.3	19810	20216	SARS-CoV-2_66	1821	4676
MN908947.3	20090	20497	SARS-CoV-2_67	455	4676
MN908947.3	20377	20792	SARS-CoV-2_68	972	4676
MN908947.3	20677	21080	SARS-CoV-2_69	0	4676
MN908947.3	20988	21387	SARS-CoV-2_70	5	4676
MN908947.3	21294	21700	SARS-CoV-2_71	442	4676
MN908947.3	21532	21933	SARS-CoV-2_72	26	4676
MN908947.3	21865	22274	SARS-CoV-2_73	191	4676
MN908947.3	22091	22503	SARS-CoV-2_74	192	4676
MN908947.3	22402	22805	SARS-CoV-2_75	126	4676
MN908947.3	22648	23057	SARS-CoV-2_76	72	4676
MN908947.3	22944	23351	SARS-CoV-2_77	10	4676
MN908947.3	23219	23635	SARS-CoV-2_78	42	4676
MN908947.3	23553	23955	SARS-CoV-2_79	812	4676
MN908947.3	23853	24258	SARS-CoV-2_80	34	4676
MN908947.3	24171	24567	SARS-CoV-2_81	328	4676
MN908947.3	24426	24836	SARS-CoV-2_82	622	4676
MN908947.3	24750	25150	SARS-CoV-2_83	0	4676
MN908947.3	25051	25461	SARS-CoV-2_84	10	4676
MN908947.3	25331	25740	SARS-CoV-2_85	174	4676
MN908947.3	25645	26050	SARS-CoV-2_86	0	4676
MN908947.3	25951	26360	SARS-CoV-2_87	1	4676
MN908947.3	26255	26661	SARS-CoV-2_88	47	4676
MN908947.3	26564	26979	SARS-CoV-2_89	5208	4676
MN908947.3	26873	27283	SARS-CoV-2_90	2281	4676
MN908947.3	27152	27560	SARS-CoV-2_91	264	4676
MN908947.3	27447	27855	SARS-CoV-2_92	4312	4676
MN908947.3	27700	28104	SARS-CoV-2_93	588	4676
MN908947.3	27996	28416	SARS-CoV-2_94	595	4676
MN908947.3	28190	28598	SARS-CoV-2_95	418	4676
MN908947.3	28512	28914	SARS-CoV-2_96	219	4676
MN908947.3	28827	29227	SARS-CoV-2_97	1479	4676
MN908947.3	29136	29534	SARS-CoV-2_98	164	4676
MN908947.3	29452	29854	SARS-CoV-2_99	3625	4676
MN908947.3	25	431	SARS-CoV-2_1	0	4542
MN908947.3	324	727	SARS-CoV-2_2	1	4542
MN908947.3	644	1044	SARS-CoV-2_3	0	4542
MN908947.3	944	1362	SARS-CoV-2_4	1	4542
MN908947.3	1245	1650	SARS-CoV-2_5	1	4542
MN908947.3	1540	1948	SARS-CoV-2_6	15	4542
MN908947.3	1851	2250	SARS-CoV-2_7	10	4542
MN908947.3	2154	2571	SARS-CoV-2_8	0	4542
MN908947.3	2483	2885	SARS-CoV-2_9	1	4542
MN908947.3	2826	3210	SARS-CoV-2_10	6	4542
MN908947.3	3078	3492	SARS-CoV-2_11	3	4542
MN908947.3	3390	3794	SARS-CoV-2_12	4	4542
MN908947.3	3683	4093	SARS-CoV-2_13	0	4542
MN908947.3	3992	4409	SARS-CoV-2_14	1	4542
MN908947.3	4312	4710	SARS-CoV-2_15	0	4542
MN908947.3	4620	5017	SARS-CoV-2_16	23	4542
MN908947.3	4923	5331	SARS-CoV-2_17	0	4542
MN908947.3	5230	5643	SARS-CoV-2_18	12	4542
MN908947.3	5561	5957	SARS-CoV-2_19	1	4542
MN908947.3	5867	6272	SARS-CoV-2_20	0	4542
MN908947.3	6184	6582	SARS-CoV-2_21	0	4542
MN908947.3	6478	6885	SARS-CoV-2_22	0	4542
MN908947.3	6747	7148	SARS-CoV-2_23	0	4542
MN908947.3	7057	7467	SARS-CoV-2_24	0	4542
MN908947.3	7381	7770	SARS-CoV-2_25	0	4542
MN908947.3	7672	8092	SARS-CoV-2_26	4	4542
MN908947.3	7997	8395	SARS-CoV-2_27	0	4542
MN908947.3	8304	8714	SARS-CoV-2_28	4	4542
MN908947.3	8596	9013	SARS-CoV-2_29	0	4542
MN908947.3	8919	9329	SARS-CoV-2_30	0	4542
MN908947.3	9168	9564	SARS-CoV-2_31	0	4542
MN908947.3	9470	9866	SARS-CoV-2_32	5	4542
MN908947.3	9782	10176	SARS-CoV-2_33	2	4542
MN908947.3	10076	10491	SARS-CoV-2_34	3	4542
MN908947.3	10393	10810	SARS-CoV-2_35	0	4542
MN908947.3	10713	11116	SARS-CoV-2_36	0	4542
MN908947.3	11000	11414	SARS-CoV-2_37	0	4542
MN908947.3	11305	11720	SARS-CoV-2_38	35	4542
MN908947.3	11624	12033	SARS-CoV-2_39	0	4542
MN908947.3	11937	12339	SARS-CoV-2_40	25	4542
MN908947.3	12234	12643	SARS-CoV-2_41	0	4542
MN908947.3	12519	12920	SARS-CoV-2_42	28	4542
MN908947.3	12831	13240	SARS-CoV-2_43	16	4542
MN908947.3	13124	13528	SARS-CoV-2_44	8	4542
MN908947.3	13463	13859	SARS-CoV-2_45	0	4542
MN908947.3	13752	14144	SARS-CoV-2_46	4	4542
MN908947.3	14045	14457	SARS-CoV-2_47	2	4542
MN908947.3	14338	14743	SARS-CoV-2_48	7	4542
MN908947.3	14647	15050	SARS-CoV-2_49	2	4542
MN908947.3	14953	15358	SARS-CoV-2_50	5	4542
MN908947.3	15214	15619	SARS-CoV-2_51	0	4542
MN908947.3	15535	15941	SARS-CoV-2_52	5	4542
MN908947.3	15855	16260	SARS-CoV-2_53	2	4542
MN908947.3	16112	16508	SARS-CoV-2_54	7	4542
MN908947.3	16386	16796	SARS-CoV-2_55	9	4542
MN908947.3	16692	17105	SARS-CoV-2_56	40	4542
MN908947.3	16986	17405	SARS-CoV-2_57	10	4542
MN908947.3	17323	17711	SARS-CoV-2_58	397	4542
MN908947.3	17615	18022	SARS-CoV-2_59	6	4542
MN908947.3	17911	18328	SARS-CoV-2_60	0	4542
MN908947.3	18244	18652	SARS-CoV-2_61	6	4542
MN908947.3	18550	18961	SARS-CoV-2_62	10	4542
MN908947.3	18869	19277	SARS-CoV-2_63	0	4542
MN908947.3	19183	19586	SARS-CoV-2_64	0	4542
MN908947.3	19485	19901	SARS-CoV-2_65	2	4542
MN908947.3	19810	20216	SARS-CoV-2_66	9	4542
MN908947.3	20090	20497	SARS-CoV-2_67	0	4542
MN908947.3	20377	20792	SARS-CoV-2_68	3	4542
MN908947.3	20677	21080	SARS-CoV-2_69	10	4542
MN908947.3	20988	21387	SARS-CoV-2_70	14	4542
MN908947.3	21294	21700	SARS-CoV-2_71	0	4542
MN908947.3	21532	21933	SARS-CoV-2_72	5	4542
MN908947.3	21865	22274	SARS-CoV-2_73	0	4542
MN908947.3	22091	22503	SARS-CoV-2_74	0	4542
MN908947.3	22402	22805	SARS-CoV-2_75	0	4542
MN908947.3	22648	23057	SARS-CoV-2_76	3	4542
MN908947.3	22944	23351	SARS-CoV-2_77	3	4542
MN908947.3	23219	23635	SARS-CoV-2_78	38	4542
MN908947.3	23553	23955	SARS-CoV-2_79	0	4542
MN908947.3	23853	24258	SARS-CoV-2_80	0	4542
MN908947.3	24171	24567	SARS-CoV-2_81	0	4542
MN908947.3	24426	24836	SARS-CoV-2_82	9	4542
MN908947.3	24750	25150	SARS-CoV-2_83	0	4542
MN908947.3	25051	25461	SARS-CoV-2_84	0	4542
MN908947.3	25331	25740	SARS-CoV-2_85	0	4542
MN908947.3	25645	26050	SARS-CoV-2_86	0	4542
MN908947.3	25951	26360	SARS-CoV-2_87	2	4542
MN908947.3	26255	26661	SARS-CoV-2_88	1	4542
MN908947.3	26564	26979	SARS-CoV-2_89	0	4542
MN908947.3	26873	27283	SARS-CoV-2_90	0	4542
MN908947.3	27152	27560	SARS-CoV-2_91	2	4542
MN908947.3	27447	27855	SARS-CoV-2_92	4	4542
MN908947.3	27700	28104	SARS-CoV-2_93	12	4542
MN908947.3	27996	28416	SARS-CoV-2_94	20	4542
MN908947.3	28190	28598	SARS-CoV-2_95	19	4542
MN908947.3	28512	28914	SARS-CoV-2_96	122	4542
MN908947.3	28827	29227	SARS-CoV-2_97	8	4542
MN908947.3	29136	29534	SARS-CoV-2_98	43	4542
MN908947.3	29452	29854	SARS-CoV-2_99	5	4542
MN908947.3	25	431	SARS-CoV-2_1	11	4538
MN908947.3	324	727	SARS-CoV-2_2	38006	4538
MN908947.3	644	1044	SARS-CoV-2_3	37	4538
MN908947.3	944	1362	SARS-CoV-2_4	475	4538
MN908947.3	1245	1650	SARS-CoV-2_5	376	4538
MN908947.3	1540	1948	SARS-CoV-2_6	2533	4538
MN908947.3	1851	2250	SARS-CoV-2_7	472	4538
MN908947.3	2154	2571	SARS-CoV-2_8	8	4538
MN908947.3	2483	2885	SARS-CoV-2_9	79	4538
MN908947.3	2826	3210	SARS-CoV-2_10	19	4538
MN908947.3	3078	3492	SARS-CoV-2_11	79	4538
MN908947.3	3390	3794	SARS-CoV-2_12	98	4538
MN908947.3	3683	4093	SARS-CoV-2_13	2	4538
MN908947.3	3992	4409	SARS-CoV-2_14	73	4538
MN908947.3	4312	4710	SARS-CoV-2_15	118	4538
MN908947.3	4620	5017	SARS-CoV-2_16	2151	4538
MN908947.3	4923	5331	SARS-CoV-2_17	37	4538
MN908947.3	5230	5643	SARS-CoV-2_18	787	4538
MN908947.3	5561	5957	SARS-CoV-2_19	6450	4538
MN908947.3	5867	6272	SARS-CoV-2_20	89	4538
MN908947.3	6184	6582	SARS-CoV-2_21	0	4538
MN908947.3	6478	6885	SARS-CoV-2_22	0	4538
MN908947.3	6747	7148	SARS-CoV-2_23	10	4538
MN908947.3	7057	7467	SARS-CoV-2_24	67	4538
MN908947.3	7381	7770	SARS-CoV-2_25	367	4538
MN908947.3	7672	8092	SARS-CoV-2_26	212	4538
MN908947.3	7997	8395	SARS-CoV-2_27	5	4538
MN908947.3	8304	8714	SARS-CoV-2_28	443	4538
MN908947.3	8596	9013	SARS-CoV-2_29	2	4538
MN908947.3	8919	9329	SARS-CoV-2_30	37	4538
MN908947.3	9168	9564	SARS-CoV-2_31	49	4538
MN908947.3	9470	9866	SARS-CoV-2_32	999	4538
MN908947.3	9782	10176	SARS-CoV-2_33	365	4538
MN908947.3	10076	10491	SARS-CoV-2_34	274	4538
MN908947.3	10393	10810	SARS-CoV-2_35	4	4538
MN908947.3	10713	11116	SARS-CoV-2_36	99	4538
MN908947.3	11000	11414	SARS-CoV-2_37	75	4538
MN908947.3	11305	11720	SARS-CoV-2_38	917	4538
MN908947.3	11624	12033	SARS-CoV-2_39	29	4538
MN908947.3	11937	12339	SARS-CoV-2_40	442	4538
MN908947.3	12234	12643	SARS-CoV-2_41	35	4538
MN908947.3	12519	12920	SARS-CoV-2_42	494	4538
MN908947.3	12831	13240	SARS-CoV-2_43	982	4538
MN908947.3	13124	13528	SARS-CoV-2_44	571	4538
MN908947.3	13463	13859	SARS-CoV-2_45	13	4538
MN908947.3	13752	14144	SARS-CoV-2_46	143	4538
MN908947.3	14045	14457	SARS-CoV-2_47	224	4538
MN908947.3	14338	14743	SARS-CoV-2_48	574	4538
MN908947.3	14647	15050	SARS-CoV-2_49	175	4538
MN908947.3	14953	15358	SARS-CoV-2_50	370	4538
MN908947.3	15214	15619	SARS-CoV-2_51	16	4538
MN908947.3	15535	15941	SARS-CoV-2_52	504	4538
MN908947.3	15855	16260	SARS-CoV-2_53	280	4538
MN908947.3	16112	16508	SARS-CoV-2_54	614	4538
MN908947.3	16386	16796	SARS-CoV-2_55	370	4538
MN908947.3	16692	17105	SARS-CoV-2_56	930	4538
MN908947.3	16986	17405	SARS-CoV-2_57	212	4538
MN908947.3	17323	17711	SARS-CoV-2_58	3141	4538
MN908947.3	17615	18022	SARS-CoV-2_59	117	4538
MN908947.3	17911	18328	SARS-CoV-2_60	3	4538
MN908947.3	18244	18652	SARS-CoV-2_61	113	4538
MN908947.3	18550	18961	SARS-CoV-2_62	899	4538
MN908947.3	18869	19277	SARS-CoV-2_63	81	4538
MN908947.3	19183	19586	SARS-CoV-2_64	33	4538
MN908947.3	19485	19901	SARS-CoV-2_65	67	4538
MN908947.3	19810	20216	SARS-CoV-2_66	175	4538
MN908947.3	20090	20497	SARS-CoV-2_67	80	4538
