chrom	start	end	coverage	sample
MN908947.3	15400	15600	0	4693
MN908947.3	15600	15800	11.53	4693
MN908947.3	15800	16000	139.22	4693
MN908947.3	16000	16200	30.81	4693
MN908947.3	16200	16400	223.51	4693
MN908947.3	16400	16600	283.78	4693
MN908947.3	16600	16800	434.6	4693
MN908947.3	16800	17000	716.92	4693
MN908947.3	17000	17200	452.46	4693
MN908947.3	17200	17400	401.23	4693
MN908947.3	17400	17600	116.72	4693
MN908947.3	17600	17800	1165.84	4693
MN908947.3	17800	18000	631.19	4693
MN908947.3	18000	18200	86.12	4693
MN908947.3	18200	18400	351.69	4693
MN908947.3	18400	18600	792.75	4693
MN908947.3	18600	18800	933.55	4693
MN908947.3	18800	19000	1228.97	4693
MN908947.3	19000	19200	8.14	4693
MN908947.3	19200	19400	0	4693
MN908947.3	19400	19600	0	4693
MN908947.3	19600	19800	808.15	4693
MN908947.3	19800	20000	1602.82	4693
MN908947.3	20000	20200	341.5	4693
MN908947.3	20200	20400	46.73	4693
MN908947.3	20400	20600	1068.17	4693
MN908947.3	20600	20800	487.05	4693
MN908947.3	20800	21000	0	4693
MN908947.3	21000	21200	2.48	4693
MN908947.3	21200	21400	362.7	4693
MN908947.3	21400	21600	779.12	4693
MN908947.3	21600	21800	48.76	4693
MN908947.3	21800	22000	0	4693
MN908947.3	22000	22200	0	4693
MN908947.3	22200	22400	14.45	4693
MN908947.3	22400	22600	12.76	4693
MN908947.3	22600	22800	0	4693
MN908947.3	22800	23000	0	4693
MN908947.3	23000	23200	0	4693
MN908947.3	23200	23400	0	4693
MN908947.3	23400	23600	19.96	4693
MN908947.3	23600	23800	5528.97	4693
MN908947.3	23800	24000	2745.24	4693
MN908947.3	24000	24200	0	4693
MN908947.3	24200	24400	0	4693
MN908947.3	24400	24600	317.95	4693
MN908947.3	24600	24800	883.68	4693
MN908947.3	24800	25000	23.41	4693
MN908947.3	25000	25200	14.54	4693
MN908947.3	25200	25400	8.92	4693
MN908947.3	25400	25600	1.39	4693
MN908947.3	25600	25800	0	4693
MN908947.3	25800	26000	0	4693
MN908947.3	26000	26200	0	4693
MN908947.3	26200	26400	0	4693
MN908947.3	26400	26600	0	4693
MN908947.3	26600	26800	191.06	4693
MN908947.3	26800	27000	226.96	4693
MN908947.3	27000	27200	117.2	4693
MN908947.3	27200	27400	169.87	4693
MN908947.3	27400	27600	0	4693
MN908947.3	27600	27800	0	4693
MN908947.3	27800	28000	0	4693
MN908947.3	28000	28200	707.45	4693
MN908947.3	28200	28400	2156.3	4693
MN908947.3	28400	28600	374.31	4693
MN908947.3	28600	28800	35.35	4693
MN908947.3	28800	29000	88.87	4693
MN908947.3	29000	29200	40.05	4693
MN908947.3	29200	29400	4430.6	4693
MN908947.3	29400	29600	3076.55	4693
MN908947.3	29600	29800	268.89	4693
MN908947.3	29800	29903	156.97	4693
